"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Jakob Chychrun","Capitals","37.55"," - ","D","-","78","16.9","27.7","44.6","0.2","53","11.2","5.7","9","14.7","189.4","21","0","110.4","65.4"
"Seth Jarvis","Hurricanes","35.99"," - ","RW","-","78.7","30.4","34.4","64.8","7.9","15.3","18.9","8","9.6","17.6","201.5","19","81.5","51.8","100.4"
"Tyler Toffoli","Sharks","35.84"," - ","RW","-","78.3","31.6","26","57.6","-4.8","16.5","23.3","8.3","9.4","17.7","237.5","17","16.4","21.6","61.5"
"Dylan Strome","Capitals","35.43"," - ","C","-","81.7","24.7","48.2","72.9","-2","29.1","18.4","6.3","21.4","27.7","160.6","18","681.9","54.8","19.5"
"Bo Horvat","Islanders","35.36"," - ","C","-","77.8","30.4","30.4","60.8","-1.2","23","21.8","6.6","6.2","12.8","234.3","20.2","774.9","40.9","77.2"
"Lane Hutson","Canadiens","35.1"," - ","D","-","80.5","5.8","60.6","66.4","-2","33.2","4.8","1","24.4","25.4","91.9","23.2","0","120.3","40.1"
"Mikhail Sergachev","Utah","34.81"," - ","D","-","77","12.3","42.4","54.7","-8.4","38.1","9.2","2.5","20.6","23.1","137.8","25","0","120.3","80.7"
"Kirill Marchenko","Blue Jackets","31.53"," - ","RW","-","77.3","28.6","35.9","64.5","4.6","18.4","23.1","5.5","12.6","18.1","202.6","18","17.4","40","54.2"
"John Carlson","Capitals","30.07"," - ","D","-","79.7","7.7","42.2","49.9","5.3","27.3","4.4","3.1","13.6","16.7","170.7","23.5","0","148.4","56.5"
"Roope Hintz","Stars","28.95"," - ","C","-","77.3","30.4","37.7","68","11.5","27.5","20.7","7.7","12.2","19.9","171.9","17.1","376.9","42.7","46.6"
"Alex Tuch","Sabres","23.72"," - ","RW","-","77","31","34.5","65.4","6.6","43.6","24","3.5","8.9","12.4","195.7","19.3","56.7","88.4","68"
"Jonathan Marchessault","Predators","20.62"," - ","RW","-","78","26.3","31.7","58","-7.4","34.9","20.7","5.6","13.6","19.2","228.7","17.9","14.1","22.6","86"
"Timo Meier","Devils","13.6"," - ","RW","-","76","28.6","25.3","53.9","-4.4","50.1","19","9.6","6.2","15.8","239.9","17.7","21.4","45.9","129.1"
"Patrick Kane","Red Wings","12.45"," - ","RW","-","74.3","23.2","38.2","61.4","-7.6","15.7","14.9","8.2","17.8","26","196.4","18","3","20.8","18.3"
"Jared McCann","Kraken","9.36"," - ","LW","-","78.8","25.2","35.2","60.4","2","21.3","18.5","5.6","12","17.6","206.3","17.2","105.4","37.5","49.2"
"Connor Bedard","Blackhawks","8.28"," - ","C","-","73.5","22.1","41","63.1","-19.2","51.6","14.1","7.9","17.2","25.1","195.1","20.4","227.8","32.2","48.8"
"Moritz Seider","Red Wings","7.98"," - ","D","-","82","8.2","38","46.1","-3.5","45.6","4.7","3.3","17.8","21.1","156.6","25","0","197.4","219.8"
"Drake Batherson","Senators","7.88"," - ","RW","-","75.5","25.7","37","62.7","-6.3","31.5","14.5","11.2","15.1","26.3","178.6","18.2","18.8","28.4","115.6"
"Matt Duchene","Stars","7.58"," - ","C","-","77.8","26","43.3","69.4","5.8","17.5","19.4","6.6","13.6","20.2","155.1","17","347.2","29.5","27.9"
"Shayne Gostisbehere","Hurricanes","5.55"," - ","D","-","77","9","38.8","47.8","1.1","36.9","5.1","3.5","21.9","25.4","132.9","18.5","0","71.4","37.6"
"Bryan Rust","Penguins","5.36"," - ","RW","-","71","29","31.7","60.7","-4.1","21.7","24.7","3.9","10.4","14.3","202.8","19.7","6.2","53.2","65.8"
"Nikolaj Ehlers","Hurricanes","3.69"," - ","LW","-","71","23.6","38","61.7","8.1","21.1","19.8","3.8","12.6","16.4","197.5","16.3","4.2","32.2","37.4"
"Elias Pettersson","Canucks","0.28"," - ","C","-","76.5","23.1","45.9","69","2.2","13.9","14.4","8","14.3","22.3","152.1","19.2","457.6","78.7","93.7"
"Rickard Rakell","Penguins","0"," - ","RW","-","75.8","28.1","31.1","59.2","-5.5","17.4","20.1","8","7.6","15.6","203.4","19.3","12.6","60.3","122.4"
"Devon Toews","Avalanche","0"," - ","D","-","79.3","10.3","37.6","48","31.6","23.9","9.6","0.7","3.8","4.5","152.9","24.6","0","111.2","61.6"
"Mathew Barzal","Islanders","-1.9"," - ","RW","-","70.3","18","44.6","62.6","3.2","23.5","14.1","3.9","14.8","18.7","196.9","20.2","63.5","48.4","47.2"
"Ryan Donato","Blackhawks","-2.64"," - ","RW","-","75.8","28.5","30.8","59.4","-5.9","48.4","24.9","3.7","7.2","10.9","209.8","19.8","208.3","23.7","127.6"
"JJ Peterka","Utah","-4.05"," - ","LW","-","78.7","26.8","33.9","60.7","0","33.4","22.1","4.7","8.5","13.2","197.4","18.3","3.1","16.7","29.3"
"Vince Dunn","Kraken","-5.88"," - ","D","-","68.8","11.9","35.3","47.2","6.3","53","9.6","2.4","11.9","14.3","138.2","22","0","74.9","49.2"
"Matthew Knies","Maple Leafs","-6.56"," - ","LW","-","79","30.9","30.6","61.6","4.7","53","27","3.9","8.1","12","182","19.9","0","44.1","213"
"Logan Cooley","Utah","-6.67"," - ","C","-","78.5","26.2","36.3","62.6","-2.6","37.5","19.6","6.1","12.8","18.9","176.6","18.3","334.7","32.5","62.7"
"Sean Monahan","Blue Jackets","-7.62"," - ","C","-","74","24.3","40.6","64.9","5.3","21.5","15.1","8.4","10.1","18.5","165.6","18.7","725","41.4","33.6"
"Adam Fantilli","Blue Jackets","-9.95"," - ","C","-","76.1","30.6","25.2","55.8","-3.7","20.2","24.5","6.1","5","11.1","210.9","18","374.3","51","108.9"
"Matthew Tkachuk","Panthers","-10.12"," - ","LW","-","53.5","21.2","39.6","60.8","3.9","61.6","13","8","14.6","22.6","179.6","18.5","3","15.3","81.7"
"Noah Hanifin","Knights","-10.15"," - ","D","-","80.5","10.7","31.9","42.6","10.8","21.2","7.9","2.9","8.1","11","161.4","23","0","115.7","56.5"
"Brock Nelson","Avalanche","-11.22"," - ","C","-","79","27.9","30.6","58.5","2.2","20.5","21.2","5","6.6","11.6","199.1","17.5","475.6","40.6","35.1"
"Dylan Holloway","Blues","-12.11"," - ","LW","-","77","25.8","34.6","60.4","8.1","30.5","20.2","5.5","5.9","11.4","191.5","18.1","68.7","51.6","201"
"Steven Stamkos","Predators","-14.33"," - ","C","-","80.8","28.1","28","56.1","-12.6","42.5","14.6","13.5","11.1","24.6","185.2","18","396.5","37.8","73.4"
"Sam Rinzel","Blackhawks","-15.89"," - ","D","-","79.7","6.8","30.6","37.5","-4.4","32","4.8","2","9.2","11.2","194.8","23.4","0","44.3","106.3"
"Ryan Nugent-Hopkins","Oilers","-16.94"," - ","LW","-","75.8","21","39.6","60.6","3.5","28","12.9","7","19.1","26.1","165.8","19","249.4","36.6","38.9"
"Zach Hyman","Oilers","-20.02"," - ","LW","-","65","30.9","20.3","51.2","7.6","31.9","22.2","8.8","5.5","14.3","206.1","18.9","3.6","22.1","58.8"
